Year,Title,Win,ASIN
1997,The Full Monty,0,B000I9UA8U
1997,Good Will Hunting,0,B004SIP7ZS
1997,L.A. Confidential,0,B001N3OJEG
1997,Titanic,1,B006H5120E
1998,Elizabeth,0,B000RF7XYO
1998,Life Is Beautiful,0,B004SIP8W0
1998,Saving Private Ryan,0,B00001ZWUS
1998,Shakespeare in Love,1,B004SIP9U6
1998,The Thin Red Line,0,B000I9VZ0W
1999,American Beauty,1,B005721Y7Y
1999,The Cider House Rules,0,B004SIP6C2
1999,The Green Mile,0,B000P0J0EM
1999,The Insider,0,B00003CWRX
1999,The Sixth Sense,0,B00004BZIY
2000,Chocolat,0,B004SIP6BI
2000,"Crouching Tiger, Hidden Dragon",0,B00198X0UY
2000,Erin Brockovich,0,B00003CXFV
2000,Gladiator,1,B00003CXE6
2000,Traffic,0,B000067IZ3
2001,A Beautiful Mind,1,B000FVQLQQ
2001,Gosford Park,0,B00005JKNF
2001,In the Bedroom,0,B00742839C
2001,The Lord of the Rings: The Fellowship of the Ring,0,B00003CWT6
2002,Chicago,1,B006RXQ1L6
2002,Gangs of New York,0,B004SIP7US
2002,The Hours,0,B00008YTQN
2002,The Pianist,0,B000FVQLRA
2003,The Lord of the Rings: The Return of the King,1,B00005JKZY
2003,Lost in Translation,0,B001NLCBK2
2003,Master and Commander: The Far Side of the World,0,B0001HLVS2
2003,Mystic River,0,B001VTTRC6
2003,Seabiscuit,0,B00005JMCN
2004,The Aviator,0,B00080ZG10
2004,Finding Neverland,0,B004SIP7PS
2004,Million Dollar Baby,1,B001EC2IYE
2004,Ray,0,B000FVQLRU
2004,Sideways,0,B000I9YWWU
2005,Brokeback Mountain,0,B0068FZ0YM
2005,Capote,0,B000E33VWW
2005,Crash,1,B002WQB0Q8
2005,"Good Night, and Good Luck.",0,B002M89SWY
2005,Munich,0,B000F1IQN2
2006,Babel,0,B000MCH5TK
2006,The Departed,1,B000NGTJTY
2006,Letters from Iwo Jima,0,B003ASLJPY
2006,Little Miss Sunshine,0,B000MR1V22
2006,The Queen,0,B004SIP9B0
2007,Atonement,0,B0017W8ODK
2007,Juno,0,B000YABYLA
2007,Michael Clayton,0,B0014B8KSI
2007,No Country for Old Men,1,B004SIP8ZM
2007,There Will Be Blood,0,B001A4LYN2
2008,Frost/Nixon,0,B001TH92N4
2008,Milk,0,B001QUF3SW
2008,The Reader,0,B001PPLJIQ
2008,Slumdog Millionaire,1,B001P9KR94
2009,Avatar,0,B008XBCJ34
2009,The Blind Side,0,B002VECM72
2009,District 9,0,B002SJIO5E
2009,The Hurt Locker,1,B00275EGWY
2009,Inglourious Basterds,0,B002T9H2LA
2009,A Serious Man,0,B002E2M5IC
2009,Up,0,B00867GKIK
2009,Up in the Air,0,B00337KM2S
2010,Black Swan,0,B0041KKYEM
2010,The Fighter,0,B003UESJHY
2010,Inception,0,B002ZG980U
2010,The Kids Are All Right,0,B003L20ICE
2010,The King's Speech,1,B003UESJH4
2010,127 Hours,0,B0041KKYDI
2010,The Social Network,0,B0034G4P7G
2010,Toy Story 3,0,B00275EHJG
2010,Winter's Bone,0,B008FERHV8
2011,The Artist,1,B00782O7IY
2011,The Descendants,0,B004UXUX4Q
2011,Extremely Loud & Incredibly Close,0,B0077ATSSQ
2011,The Help,0,B004A8ZWVK
2011,Hugo,0,B003Y5H5H4
2011,Midnight in Paris,0,B005MYEQ4U
2011,Moneyball,0,B0060ZJ7BC
2011,The Tree of Life,0,B005HV6Y5W
2011,War Horse,0,B0072GPQNG
